Date,Daily_oil_price,
01-01-13,,
02-01-13,93.14,
03-01-13,92.97,
04-01-13,93.12,
07-01-13,93.2,
08-01-13,93.21,
09-01-13,93.08,
10-01-13,93.81,
11-01-13,93.6,
14-01-13,94.27,
15-01-13,93.26,
16-01-13,94.28,
17-01-13,95.49,
18-01-13,95.61,
21-01-13,,
22-01-13,96.09,
23-01-13,95.06,
24-01-13,95.35,
25-01-13,95.15,
28-01-13,95.95,
29-01-13,97.62,
30-01-13,97.98,
31-01-13,97.65,
01-02-13,97.46,
04-02-13,96.21,
05-02-13,96.68,
06-02-13,96.44,
07-02-13,95.84,
08-02-13,95.71,
11-02-13,97.01,
12-02-13,97.48,
13-02-13,97.03,
14-02-13,97.3,
15-02-13,95.95,
18-02-13,,
19-02-13,96.69,
20-02-13,94.92,
21-02-13,92.79,
22-02-13,93.12,
25-02-13,92.74,
26-02-13,92.63,
27-02-13,92.84,
28-02-13,92.03,
01-03-13,90.71,
04-03-13,90.13,
05-03-13,90.88,
06-03-13,90.47,
07-03-13,91.53,
08-03-13,92.01,
11-03-13,92.07,
12-03-13,92.44,
13-03-13,92.47,
14-03-13,93.03,
15-03-13,93.49,
18-03-13,93.71,
19-03-13,92.44,
20-03-13,93.21,
21-03-13,92.46,
22-03-13,93.41,
25-03-13,94.55,
26-03-13,95.99,
27-03-13,96.53,
28-03-13,97.24,
29-03-13,,
01-04-13,97.1,
02-04-13,97.23,
03-04-13,95.02,
04-04-13,93.26,
05-04-13,92.76,
08-04-13,93.36,
09-04-13,94.18,
10-04-13,94.59,
11-04-13,93.44,
12-04-13,91.23,
15-04-13,88.75,
16-04-13,88.73,
17-04-13,86.65,
18-04-13,87.83,
19-04-13,88.04,
22-04-13,88.81,
23-04-13,89.21,
24-04-13,91.07,
25-04-13,93.27,
26-04-13,92.63,
29-04-13,94.09,
30-04-13,93.22,
01-05-13,90.74,
02-05-13,93.7,
03-05-13,95.25,
06-05-13,95.8,
07-05-13,95.28,
08-05-13,96.24,
09-05-13,96.09,
10-05-13,95.81,
13-05-13,94.76,
14-05-13,93.96,
15-05-13,93.95,
16-05-13,94.85,
17-05-13,95.72,
20-05-13,96.29,
21-05-13,95.55,
22-05-13,93.98,
23-05-13,94.12,
24-05-13,93.84,
27-05-13,,
28-05-13,94.65,
29-05-13,93.13,
30-05-13,93.57,
31-05-13,91.93,
03-06-13,93.41,
04-06-13,93.36,
05-06-13,93.66,
06-06-13,94.71,
07-06-13,96.11,
10-06-13,95.82,
11-06-13,95.5,
12-06-13,95.98,
13-06-13,96.66,
14-06-13,97.83,
17-06-13,97.86,
18-06-13,98.46,
19-06-13,98.24,
20-06-13,94.89,
21-06-13,93.81,
24-06-13,95.07,
25-06-13,95.25,
26-06-13,95.47,
27-06-13,97,
28-06-13,96.36,
01-07-13,97.94,
02-07-13,99.65,
03-07-13,101.92,
04-07-13,,
05-07-13,103.09,
08-07-13,103.03,
09-07-13,103.46,
10-07-13,106.41,
11-07-13,104.77,
12-07-13,105.85,
15-07-13,106.2,
16-07-13,105.88,
17-07-13,106.39,
18-07-13,107.94,
19-07-13,108,
22-07-13,106.61,
23-07-13,107.13,
24-07-13,105.41,
25-07-13,105.47,
26-07-13,104.76,
29-07-13,104.61,
30-07-13,103.14,
31-07-13,105.1,
01-08-13,107.93,
02-08-13,106.94,
05-08-13,106.61,
06-08-13,105.32,
07-08-13,104.41,
08-08-13,103.45,
09-08-13,106.04,
12-08-13,106.19,
13-08-13,106.78,
14-08-13,106.89,
15-08-13,107.43,
16-08-13,107.58,
19-08-13,107.14,
20-08-13,104.9,
21-08-13,103.93,
22-08-13,104.93,
23-08-13,106.48,
26-08-13,105.88,
27-08-13,109.11,
28-08-13,110.17,
29-08-13,108.51,
30-08-13,107.98,
02-09-13,,
03-09-13,108.67,
04-09-13,107.29,
05-09-13,108.5,
06-09-13,110.62,
09-09-13,109.62,
10-09-13,107.48,
11-09-13,107.65,
12-09-13,108.72,
13-09-13,108.31,
16-09-13,106.54,
17-09-13,105.36,
18-09-13,108.23,
19-09-13,106.26,
20-09-13,104.7,
23-09-13,103.62,
24-09-13,103.22,
25-09-13,102.68,
26-09-13,103.1,
27-09-13,102.86,
30-09-13,102.36,
01-10-13,102.09,
02-10-13,104.15,
03-10-13,103.29,
04-10-13,103.83,
07-10-13,103.07,
08-10-13,103.54,
09-10-13,101.63,
10-10-13,103.08,
11-10-13,102.17,
14-10-13,102.46,
15-10-13,101.15,
16-10-13,102.34,
17-10-13,100.72,
18-10-13,100.87,
21-10-13,99.28,
22-10-13,97.63,
23-10-13,96.9,
24-10-13,96.65,
25-10-13,97.4,
28-10-13,98.74,
29-10-13,98.29,
30-10-13,96.81,
31-10-13,96.29,
01-11-13,94.56,
04-11-13,94.58,
05-11-13,93.4,
06-11-13,94.74,
07-11-13,94.25,
08-11-13,94.56,
11-11-13,95.13,
12-11-13,93.12,
13-11-13,93.91,
14-11-13,93.76,
15-11-13,93.8,
18-11-13,93.03,
19-11-13,93.35,
20-11-13,93.34,
21-11-13,95.35,
22-11-13,94.53,
25-11-13,93.86,
26-11-13,93.41,
27-11-13,92.05,
28-11-13,,
29-11-13,92.55,
02-12-13,93.61,
03-12-13,95.83,
04-12-13,96.97,
05-12-13,97.14,
06-12-13,97.48,
09-12-13,97.1,
10-12-13,98.32,
11-12-13,97.25,
12-12-13,97.21,
13-12-13,96.27,
16-12-13,97.18,
17-12-13,96.99,
18-12-13,97.59,
19-12-13,98.4,
20-12-13,99.11,
23-12-13,98.62,
24-12-13,98.87,
25-12-13,,
26-12-13,99.18,
27-12-13,99.94,
30-12-13,98.9,
31-12-13,98.17,
01-01-14,,
02-01-14,95.14,
03-01-14,93.66,
06-01-14,93.12,
07-01-14,93.31,
08-01-14,91.9,
09-01-14,91.36,
10-01-14,92.39,
13-01-14,91.45,
14-01-14,92.15,
15-01-14,93.78,
16-01-14,93.54,
17-01-14,93.96,
20-01-14,,
21-01-14,94.51,
22-01-14,96.35,
23-01-14,97.23,
24-01-14,96.66,
27-01-14,95.82,
28-01-14,97.49,
29-01-14,97.34,
30-01-14,98.25,
31-01-14,97.55,
03-02-14,96.44,
04-02-14,97.24,
05-02-14,97.4,
06-02-14,97.84,
07-02-14,99.98,
10-02-14,100.12,
11-02-14,99.96,
12-02-14,100.38,
13-02-14,100.27,
14-02-14,100.31,
17-02-14,,
18-02-14,102.54,
19-02-14,103.46,
20-02-14,103.2,
21-02-14,102.53,
24-02-14,103.17,
25-02-14,102.2,
26-02-14,102.93,
27-02-14,102.68,
28-02-14,102.88,
03-03-14,105.34,
04-03-14,103.64,
05-03-14,101.75,
06-03-14,101.82,
07-03-14,102.82,
10-03-14,101.39,
11-03-14,100.29,
12-03-14,98.29,
13-03-14,98.57,
14-03-14,99.23,
17-03-14,98.43,
18-03-14,100.08,
19-03-14,100.71,
20-03-14,99.68,
21-03-14,99.97,
24-03-14,100.05,
25-03-14,99.66,
26-03-14,100.61,
27-03-14,101.25,
28-03-14,101.73,
31-03-14,101.57,
01-04-14,99.69,
02-04-14,99.6,
03-04-14,100.29,
04-04-14,101.16,
07-04-14,100.43,
08-04-14,102.57,
09-04-14,103.55,
10-04-14,103.37,
11-04-14,103.68,
14-04-14,104.05,
15-04-14,103.7,
16-04-14,103.71,
17-04-14,104.33,
18-04-14,,
21-04-14,104.35,
22-04-14,101.69,
23-04-14,101.47,
24-04-14,102.2,
25-04-14,100.85,
28-04-14,101.13,
29-04-14,101.56,
30-04-14,100.07,
01-05-14,99.69,
02-05-14,100.09,
05-05-14,99.74,
06-05-14,99.81,
07-05-14,101.06,
08-05-14,100.52,
09-05-14,100.32,
12-05-14,100.89,
13-05-14,102.01,
14-05-14,102.63,
15-05-14,101.74,
16-05-14,102.31,
19-05-14,102.95,
20-05-14,102.8,
21-05-14,104.31,
22-05-14,104.03,
23-05-14,105.01,
26-05-14,,
27-05-14,104.78,
28-05-14,103.37,
29-05-14,104.26,
30-05-14,103.4,
02-06-14,103.07,
03-06-14,103.34,
04-06-14,103.27,
05-06-14,103.17,
06-06-14,103.32,
09-06-14,105.09,
10-06-14,105.02,
11-06-14,105.04,
12-06-14,107.2,
13-06-14,107.49,
16-06-14,107.52,
17-06-14,106.95,
18-06-14,106.64,
19-06-14,107.08,
20-06-14,107.95,
23-06-14,106.83,
24-06-14,106.64,
25-06-14,107.04,
26-06-14,106.49,
27-06-14,106.46,
30-06-14,106.07,
01-07-14,106.06,
02-07-14,105.18,
03-07-14,104.76,
04-07-14,,
07-07-14,104.19,
08-07-14,104.06,
09-07-14,102.93,
10-07-14,103.61,
11-07-14,101.48,
14-07-14,101.73,
15-07-14,100.56,
16-07-14,101.88,
17-07-14,103.84,
18-07-14,103.83,
21-07-14,105.34,
22-07-14,104.59,
23-07-14,103.81,
24-07-14,102.76,
25-07-14,105.23,
28-07-14,105.68,
29-07-14,104.91,
30-07-14,104.29,
31-07-14,98.23,
01-08-14,97.86,
04-08-14,98.26,
05-08-14,97.34,
06-08-14,96.93,
07-08-14,97.34,
08-08-14,97.61,
11-08-14,98.09,
12-08-14,97.36,
13-08-14,97.57,
14-08-14,95.54,
15-08-14,97.3,
18-08-14,96.44,
19-08-14,94.35,
20-08-14,96.4,
21-08-14,93.97,
22-08-14,93.61,
25-08-14,95.39,
26-08-14,95.78,
27-08-14,95.82,
28-08-14,96.44,
29-08-14,97.86,
01-09-14,,
02-09-14,92.92,
03-09-14,95.5,
04-09-14,94.51,
05-09-14,93.32,
08-09-14,92.64,
09-09-14,92.73,
10-09-14,91.71,
11-09-14,92.89,
12-09-14,92.18,
15-09-14,92.86,
16-09-14,94.91,
17-09-14,94.33,
18-09-14,93.07,
19-09-14,92.43,
22-09-14,91.46,
23-09-14,91.55,
24-09-14,93.6,
25-09-14,93.59,
26-09-14,95.55,
29-09-14,94.53,
30-09-14,91.17,
01-10-14,90.74,
02-10-14,91.02,
03-10-14,89.76,
06-10-14,90.33,
07-10-14,88.89,
08-10-14,87.29,
09-10-14,85.76,
10-10-14,85.87,
13-10-14,85.73,
14-10-14,81.72,
15-10-14,81.82,
16-10-14,82.33,
17-10-14,82.8,
20-10-14,82.76,
21-10-14,83.25,
22-10-14,80.52,
23-10-14,82.81,
24-10-14,81.27,
27-10-14,81.26,
28-10-14,81.36,
29-10-14,82.25,
30-10-14,81.06,
31-10-14,80.53,
03-11-14,78.77,
04-11-14,77.15,
05-11-14,78.71,
06-11-14,77.87,
07-11-14,78.71,
10-11-14,77.43,
11-11-14,77.85,
12-11-14,77.16,
13-11-14,74.13,
14-11-14,75.91,
17-11-14,75.64,
18-11-14,74.55,
19-11-14,74.55,
20-11-14,75.63,
21-11-14,76.52,
24-11-14,75.74,
25-11-14,74.04,
26-11-14,73.7,
27-11-14,,
28-11-14,65.94,
01-12-14,68.98,
02-12-14,66.99,
03-12-14,67.3,
04-12-14,66.73,
05-12-14,65.89,
08-12-14,63.13,
09-12-14,63.74,
10-12-14,60.99,
11-12-14,60.01,
12-12-14,57.81,
15-12-14,55.96,
16-12-14,55.97,
17-12-14,56.43,
18-12-14,54.18,
19-12-14,56.91,
22-12-14,55.25,
23-12-14,56.78,
24-12-14,55.7,
25-12-14,,
26-12-14,54.59,
29-12-14,53.46,
30-12-14,54.14,
31-12-14,53.45,
01-01-15,,
02-01-15,52.72,
05-01-15,50.05,
06-01-15,47.98,
07-01-15,48.69,
08-01-15,48.8,
09-01-15,48.35,
12-01-15,46.06,
13-01-15,45.92,
14-01-15,48.49,
15-01-15,46.37,
16-01-15,48.49,
19-01-15,,
20-01-15,46.79,
21-01-15,47.85,
22-01-15,45.93,
23-01-15,45.26,
26-01-15,44.8,
27-01-15,45.84,
28-01-15,44.08,
29-01-15,44.12,
30-01-15,47.79,
02-02-15,49.25,
03-02-15,53.04,
04-02-15,48.45,
05-02-15,50.48,
06-02-15,51.66,
09-02-15,52.99,
10-02-15,50.06,
11-02-15,48.8,
12-02-15,51.17,
13-02-15,52.66,
16-02-15,,
17-02-15,53.56,
18-02-15,52.13,
19-02-15,51.12,
20-02-15,49.95,
23-02-15,49.56,
24-02-15,48.48,
25-02-15,50.25,
26-02-15,47.65,
27-02-15,49.84,
02-03-15,49.59,
03-03-15,50.43,
04-03-15,51.53,
05-03-15,50.76,
06-03-15,49.61,
09-03-15,49.95,
10-03-15,48.42,
11-03-15,48.06,
12-03-15,47.12,
13-03-15,44.88,
16-03-15,43.93,
17-03-15,43.39,
18-03-15,44.63,
19-03-15,44.02,
20-03-15,46,
23-03-15,47.4,
24-03-15,47.03,
25-03-15,48.75,
26-03-15,51.41,
27-03-15,48.83,
30-03-15,48.66,
31-03-15,47.72,
01-04-15,50.12,
02-04-15,49.13,
03-04-15,,
06-04-15,52.08,
07-04-15,53.95,
08-04-15,50.44,
09-04-15,50.79,
10-04-15,51.63,
13-04-15,51.95,
14-04-15,53.3,
15-04-15,56.25,
16-04-15,56.69,
17-04-15,55.71,
20-04-15,56.37,
21-04-15,55.58,
22-04-15,56.17,
23-04-15,56.59,
24-04-15,55.98,
27-04-15,55.56,
28-04-15,57.05,
29-04-15,58.55,
30-04-15,59.62,
01-05-15,59.1,
04-05-15,58.92,
05-05-15,60.38,
06-05-15,60.93,
07-05-15,58.99,
08-05-15,59.41,
11-05-15,59.23,
12-05-15,60.72,
13-05-15,60.5,
14-05-15,59.89,
15-05-15,59.73,
18-05-15,59.44,
19-05-15,57.3,
20-05-15,58.96,
21-05-15,60.18,
22-05-15,58.88,
25-05-15,,
26-05-15,57.29,
27-05-15,57.51,
28-05-15,57.69,
29-05-15,60.25,
01-06-15,60.24,
02-06-15,61.3,
03-06-15,59.67,
04-06-15,58,
05-06-15,59.11,
08-06-15,58.15,
09-06-15,60.15,
10-06-15,61.36,
11-06-15,60.74,
12-06-15,59.96,
15-06-15,59.53,
16-06-15,60.01,
17-06-15,59.89,
18-06-15,60.41,
19-06-15,59.62,
22-06-15,60.01,
23-06-15,61.05,
24-06-15,60.01,
25-06-15,59.59,
26-06-15,59.41,
29-06-15,58.34,
30-06-15,59.48,
01-07-15,56.94,
02-07-15,56.93,
03-07-15,,
06-07-15,52.48,
07-07-15,52.33,
08-07-15,51.61,
09-07-15,52.76,
10-07-15,52.74,
13-07-15,52.19,
14-07-15,53.05,
15-07-15,51.4,
16-07-15,50.9,
17-07-15,50.88,
20-07-15,50.11,
21-07-15,50.59,
22-07-15,49.27,
23-07-15,48.11,
24-07-15,47.98,
27-07-15,47.17,
28-07-15,47.97,
29-07-15,48.77,
30-07-15,48.53,
31-07-15,47.11,
03-08-15,45.25,
04-08-15,45.75,
05-08-15,45.13,
06-08-15,44.69,
07-08-15,43.87,
10-08-15,44.94,
11-08-15,43.11,
12-08-15,43.22,
13-08-15,42.27,
14-08-15,42.45,
17-08-15,41.93,
18-08-15,42.58,
19-08-15,40.75,
20-08-15,41,
21-08-15,40.45,
24-08-15,38.22,
25-08-15,39.15,
26-08-15,38.5,
27-08-15,42.47,
28-08-15,45.29,
31-08-15,49.2,
01-09-15,45.38,
02-09-15,46.3,
03-09-15,46.75,
04-09-15,46.02,
07-09-15,,
08-09-15,45.92,
09-09-15,44.13,
10-09-15,45.85,
11-09-15,44.75,
14-09-15,44.07,
15-09-15,44.58,
16-09-15,47.12,
17-09-15,46.93,
18-09-15,44.71,
21-09-15,46.67,
22-09-15,46.17,
23-09-15,44.53,
24-09-15,44.94,
25-09-15,45.55,
28-09-15,44.4,
29-09-15,45.24,
30-09-15,45.06,
01-10-15,44.75,
02-10-15,45.54,
05-10-15,46.28,
06-10-15,48.53,
07-10-15,47.86,
08-10-15,49.46,
09-10-15,49.67,
12-10-15,47.09,
13-10-15,46.7,
14-10-15,46.63,
15-10-15,46.38,
16-10-15,47.3,
19-10-15,45.91,
20-10-15,45.84,
21-10-15,45.22,
22-10-15,44.9,
23-10-15,43.91,
26-10-15,43.19,
27-10-15,43.21,
28-10-15,45.93,
29-10-15,46.02,
30-10-15,46.6,
02-11-15,46.12,
03-11-15,47.88,
04-11-15,46.32,
05-11-15,45.27,
06-11-15,44.32,
09-11-15,43.87,
10-11-15,44.23,
11-11-15,42.95,
12-11-15,41.74,
13-11-15,40.69,
16-11-15,41.68,
17-11-15,40.73,
18-11-15,40.75,
19-11-15,40.55,
20-11-15,39.39,
23-11-15,39.27,
24-11-15,40.89,
25-11-15,41.22,
26-11-15,,
27-11-15,40.57,
30-11-15,40.43,
01-12-15,40.58,
02-12-15,39.93,
03-12-15,41.08,
04-12-15,40,
07-12-15,37.64,
08-12-15,37.46,
09-12-15,37.16,
10-12-15,36.76,
11-12-15,35.65,
14-12-15,36.31,
15-12-15,37.32,
16-12-15,35.55,
17-12-15,34.98,
18-12-15,34.72,
21-12-15,34.55,
22-12-15,36.12,
23-12-15,36.76,
24-12-15,37.62,
25-12-15,,
28-12-15,36.36,
29-12-15,37.88,
30-12-15,36.59,
31-12-15,37.13,
01-01-16,,
04-01-16,36.81,
05-01-16,35.97,
06-01-16,33.97,
07-01-16,33.29,
08-01-16,33.2,
11-01-16,31.42,
12-01-16,30.42,
13-01-16,30.42,
14-01-16,31.22,
15-01-16,29.45,
18-01-16,,
19-01-16,28.47,
20-01-16,26.68,
21-01-16,29.55,
22-01-16,32.07,
25-01-16,30.31,
26-01-16,29.54,
27-01-16,32.32,
28-01-16,33.21,
29-01-16,33.66,
01-02-16,31.62,
02-02-16,29.9,
03-02-16,32.29,
04-02-16,31.63,
05-02-16,30.86,
08-02-16,29.71,
09-02-16,27.96,
10-02-16,27.54,
11-02-16,26.19,
12-02-16,29.32,
15-02-16,,
16-02-16,29.05,
17-02-16,30.68,
18-02-16,30.77,
19-02-16,29.59,
22-02-16,31.37,
23-02-16,31.84,
24-02-16,30.35,
25-02-16,31.4,
26-02-16,31.65,
29-02-16,32.74,
01-03-16,34.39,
02-03-16,34.57,
03-03-16,34.56,
04-03-16,35.91,
07-03-16,37.9,
08-03-16,36.67,
09-03-16,37.62,
10-03-16,37.77,
11-03-16,38.51,
14-03-16,37.2,
15-03-16,36.32,
16-03-16,38.43,
17-03-16,40.17,
18-03-16,39.47,
21-03-16,39.91,
22-03-16,41.45,
23-03-16,38.28,
24-03-16,38.14,
25-03-16,,
28-03-16,37.99,
29-03-16,36.91,
30-03-16,36.91,
31-03-16,36.94,
01-04-16,35.36,
04-04-16,34.3,
05-04-16,34.52,
06-04-16,37.74,
07-04-16,37.3,
08-04-16,39.74,
11-04-16,40.46,
12-04-16,42.12,
13-04-16,41.7,
14-04-16,41.45,
15-04-16,40.4,
18-04-16,39.74,
19-04-16,40.88,
20-04-16,42.72,
21-04-16,43.18,
22-04-16,42.76,
25-04-16,41.67,
26-04-16,42.52,
27-04-16,45.29,
28-04-16,46.03,
29-04-16,45.98,
02-05-16,44.75,
03-05-16,43.65,
04-05-16,43.77,
05-05-16,44.33,
06-05-16,44.58,
09-05-16,43.45,
10-05-16,44.68,
11-05-16,46.21,
12-05-16,46.64,
13-05-16,46.22,
16-05-16,47.72,
17-05-16,48.29,
18-05-16,48.12,
19-05-16,48.16,
20-05-16,47.67,
23-05-16,48.12,
24-05-16,48.04,
25-05-16,49.1,
26-05-16,49,
27-05-16,49.36,
30-05-16,,
31-05-16,49.1,
01-06-16,49.07,
02-06-16,49.14,
03-06-16,48.69,
06-06-16,49.71,
07-06-16,50.37,
08-06-16,51.23,
09-06-16,50.52,
10-06-16,49.09,
13-06-16,48.89,
14-06-16,48.49,
15-06-16,47.92,
16-06-16,46.14,
17-06-16,48,
20-06-16,49.4,
21-06-16,48.95,
22-06-16,49.16,
23-06-16,49.34,
24-06-16,46.7,
27-06-16,45.8,
28-06-16,47.93,
29-06-16,49.85,
30-06-16,48.27,
01-07-16,49.02,
04-07-16,,
05-07-16,46.73,
06-07-16,47.37,
07-07-16,45.22,
08-07-16,45.37,
11-07-16,44.73,
12-07-16,46.82,
13-07-16,44.87,
14-07-16,45.64,
15-07-16,45.93,
18-07-16,45.23,
19-07-16,44.64,
20-07-16,44.96,
21-07-16,43.96,
22-07-16,43.41,
25-07-16,42.4,
26-07-16,42.16,
27-07-16,41.9,
28-07-16,41.13,
29-07-16,41.54,
01-08-16,40.05,
02-08-16,39.5,
03-08-16,40.8,
04-08-16,41.92,
05-08-16,41.83,
08-08-16,43.06,
09-08-16,42.78,
10-08-16,41.75,
11-08-16,43.51,
12-08-16,44.47,
15-08-16,45.72,
16-08-16,46.57,
17-08-16,46.81,
18-08-16,48.2,
19-08-16,48.48,
22-08-16,46.8,
23-08-16,47.54,
24-08-16,46.29,
25-08-16,46.97,
26-08-16,47.64,
29-08-16,46.97,
30-08-16,46.32,
31-08-16,44.68,
01-09-16,43.17,
02-09-16,44.39,
05-09-16,,
06-09-16,44.85,
07-09-16,45.47,
08-09-16,47.63,
09-09-16,45.88,
12-09-16,46.28,
13-09-16,44.91,
14-09-16,43.62,
15-09-16,43.85,
16-09-16,43.04,
19-09-16,43.34,
20-09-16,43.85,
21-09-16,45.33,
22-09-16,46.1,
23-09-16,44.36,
26-09-16,45.6,
27-09-16,44.65,
28-09-16,47.07,
29-09-16,47.72,
30-09-16,47.72,
03-10-16,48.8,
04-10-16,48.67,
05-10-16,49.75,
06-10-16,50.44,
07-10-16,49.76,
10-10-16,49.76,
11-10-16,50.72,
12-10-16,50.14,
13-10-16,50.47,
14-10-16,50.35,
17-10-16,49.97,
18-10-16,50.3,
19-10-16,51.59,
20-10-16,50.31,
21-10-16,50.61,
24-10-16,50.18,
25-10-16,49.45,
26-10-16,48.75,
27-10-16,49.71,
28-10-16,48.72,
31-10-16,46.83,
01-11-16,46.66,
02-11-16,45.32,
03-11-16,44.66,
04-11-16,44.07,
07-11-16,44.88,
08-11-16,44.96,
09-11-16,45.2,
10-11-16,44.62,
11-11-16,43.39,
14-11-16,43.29,
15-11-16,45.86,
16-11-16,45.56,
17-11-16,45.37,
18-11-16,45.69,
21-11-16,47.48,
22-11-16,48.07,
23-11-16,46.72,
24-11-16,,
25-11-16,46.72,
28-11-16,45.66,
29-11-16,45.29,
30-11-16,49.41,
01-12-16,51.08,
02-12-16,51.7,
05-12-16,51.72,
06-12-16,50.95,
07-12-16,49.85,
08-12-16,50.84,
09-12-16,51.51,
12-12-16,52.74,
13-12-16,52.99,
14-12-16,51.01,
15-12-16,50.9,
16-12-16,51.93,
19-12-16,52.13,
20-12-16,52.22,
21-12-16,51.44,
22-12-16,51.98,
23-12-16,52.01,
26-12-16,,
27-12-16,52.82,
28-12-16,54.01,
29-12-16,53.8,
30-12-16,53.75,
02-01-17,,
03-01-17,52.36,
04-01-17,53.26,
05-01-17,53.77,
06-01-17,53.98,
09-01-17,51.95,
10-01-17,50.82,
11-01-17,52.19,
12-01-17,53.01,
13-01-17,52.36,
16-01-17,,
17-01-17,52.45,
18-01-17,51.12,
19-01-17,51.39,
20-01-17,52.33,
23-01-17,52.77,
24-01-17,52.38,
25-01-17,52.14,
26-01-17,53.24,
27-01-17,53.18,
30-01-17,52.63,
31-01-17,52.75,
01-02-17,53.9,
02-02-17,53.55,
03-02-17,53.81,
06-02-17,53.01,
07-02-17,52.19,
08-02-17,52.37,
09-02-17,52.99,
10-02-17,53.84,
13-02-17,52.96,
14-02-17,53.21,
15-02-17,53.11,
16-02-17,53.41,
17-02-17,53.41,
20-02-17,,
21-02-17,54.02,
22-02-17,53.61,
23-02-17,54.48,
24-02-17,53.99,
27-02-17,54.04,
28-02-17,54,
01-03-17,53.82,
02-03-17,52.63,
03-03-17,53.33,
06-03-17,53.19,
07-03-17,52.68,
08-03-17,49.83,
09-03-17,48.75,
10-03-17,48.05,
13-03-17,47.95,
14-03-17,47.24,
15-03-17,48.34,
16-03-17,48.3,
17-03-17,48.34,
20-03-17,47.79,
21-03-17,47.02,
22-03-17,47.29,
23-03-17,47,
24-03-17,47.3,
27-03-17,47.02,
28-03-17,48.36,
29-03-17,49.47,
30-03-17,50.3,
31-03-17,50.54,
03-04-17,50.25,
04-04-17,50.99,
05-04-17,51.14,
06-04-17,51.69,
07-04-17,52.25,
10-04-17,53.06,
11-04-17,53.38,
12-04-17,53.12,
13-04-17,53.19,
14-04-17,,
17-04-17,52.62,
18-04-17,52.46,
19-04-17,50.49,
20-04-17,50.26,
21-04-17,49.64,
24-04-17,48.9,
25-04-17,49.22,
26-04-17,49.22,
27-04-17,48.96,
28-04-17,49.31,
01-05-17,48.83,
02-05-17,47.65,
03-05-17,47.79,
04-05-17,45.55,
05-05-17,46.23,
08-05-17,46.46,
09-05-17,45.84,
10-05-17,47.28,
11-05-17,47.81,
12-05-17,47.83,
15-05-17,48.86,
16-05-17,48.64,
17-05-17,49.04,
18-05-17,49.36,
19-05-17,50.32,
22-05-17,50.81,
23-05-17,51.12,
24-05-17,50.99,
25-05-17,48.57,
26-05-17,49.58,
29-05-17,,
30-05-17,49.63,
31-05-17,48.29,
01-06-17,48.32,
02-06-17,47.68,
05-06-17,47.4,
06-06-17,48.13,
07-06-17,45.8,
08-06-17,45.68,
09-06-17,45.82,
12-06-17,46.1,
13-06-17,46.41,
14-06-17,44.79,
15-06-17,44.47,
16-06-17,44.73,
19-06-17,44.24,
20-06-17,43.34,
21-06-17,42.48,
22-06-17,42.53,
23-06-17,42.86,
26-06-17,43.24,
27-06-17,44.25,
28-06-17,44.74,
29-06-17,44.88,
30-06-17,46.02,
03-07-17,,
04-07-17,,
05-07-17,45.11,
06-07-17,45.52,
07-07-17,44.25,
10-07-17,44.4,
11-07-17,45.06,
12-07-17,45.48,
13-07-17,46.06,
14-07-17,46.53,
17-07-17,46.02,
18-07-17,46.4,
19-07-17,47.1,
20-07-17,46.73,
21-07-17,45.78,
24-07-17,46.21,
25-07-17,47.77,
26-07-17,48.58,
27-07-17,49.05,
28-07-17,49.72,
31-07-17,50.21,
01-08-17,49.19,
02-08-17,49.6,
03-08-17,49.03,
04-08-17,49.57,
07-08-17,49.37,
08-08-17,49.07,
09-08-17,49.59,
10-08-17,48.54,
11-08-17,48.81,
14-08-17,47.59,
15-08-17,47.57,
16-08-17,46.8,
17-08-17,47.07,
18-08-17,48.59,
21-08-17,47.39,
22-08-17,47.65,
23-08-17,48.45,
24-08-17,47.24,
25-08-17,47.65,
28-08-17,46.4,
29-08-17,46.46,
30-08-17,45.96,
31-08-17,47.26,
